entry_filter,cost_bps_per_side,period,policy,trades,tickers,signal_dates,win_rate_pct,mean_net_return_pct,median_net_return_pct,p10_net_return_pct,worst_net_return_pct,loss_at_least_10pct_rate,mean_winner_pct,mean_loser_pct,median_excess_spy_pp,mean_excess_spy_pp,beat_spy_pct,date_balanced_median_return_pct,date_balanced_median_excess_spy_pp,median_return_without_3_largest_dates_pct,median_adverse_excursion_pct,median_sessions_to_exit,positive_quarters_min30,quarters_min30,positive_sectors_min30,sectors_min30,sample_flag
volatility_2_to_5,0,recent,hold_20,418,290,111,52.87081339712919,1.151844754649253,0.6148689663985851,-12.607617606477742,-39.372247890501285,16.74641148325359,9.879755987737386,-8.639365308865862,-0.27262827993480565,-0.27770309637681084,48.5645933014354,0.526403464934222,-0.37225339282668246,1.1820762368207616,-6.881650223850178,20.0,2,3,3,5,descriptive only
volatility_2_to_5,0,recent,hold_30,418,290,111,54.066985645933016,2.578878293809161,1.0965760379538558,-13.902637229872447,-41.473975126669735,17.22488038277512,12.754787083580718,-9.399014344151107,-0.06606568518129352,0.734840810819932,50.0,1.3900395839086865,-0.35194472201446336,2.6984667802385065,-7.941251072782696,30.0,2,3,4,5,descriptive only
volatility_2_to_5,0,recent,recovery_30,418,290,111,64.5933014354067,1.6965784716695784,5.683153952441867,-12.972930275748928,-41.473975126669735,15.07177033492823,8.282572513470894,-10.318410658643637,3.8333696036015885,0.7759567171861756,62.91866028708134,5.128119744925974,2.881192629522178,5.948007911839492,-6.862631293747934,27.0,3,3,5,5,descriptive only
volatility_2_to_5,0,recent,recovery_stop_10,418,290,111,59.569377990430624,0.9725403011325251,4.702129131373411,-12.410545090968185,-25.793735099025085,22.966507177033492,8.35809780006911,-9.909139090791795,3.1516586656751056,0.2227332671412452,58.3732057416268,1.2380416432189012,0.9767310969148619,5.121207256381455,-6.862631293747934,12.0,3,3,5,5,descriptive only
volatility_2_to_5,0,recent,trailing_close_10,418,290,111,45.45454545454545,1.145446865807084,-2.2423343677885232,-11.2876126679027,-25.793735099025085,17.464114832535884,12.372465026964674,-8.210401601824241,-3.3760332871687337,-0.39058328597085934,42.10526315789473,0.166771007426175,-2.3287296265915858,-1.5594603074992053,-7.025163772247545,23.0,1,3,1,5,descriptive only
volatility_2_to_5,10,older,hold_20,734,369,195,59.53678474114441,2.814575061911603,2.625513879578234,-10.718101748738901,-29.617225285303828,11.1716621253406,9.854847537312825,-7.544344371591202,-0.2679562008453873,0.2552576484613404,48.77384196185286,0.3407121474712671,-0.6864233424902499,0.5583414620742966,-6.075490176922587,20.0,4,5,8,8,descriptive only
volatility_2_to_5,10,older,hold_30,734,369,195,58.03814713896458,3.9295943766496824,2.5770243786825575,-14.089835709861378,-41.36738261738261,16.893732970027248,13.919723799301607,-9.887922292342916,-1.15419894476898,0.12065608607165952,47.13896457765668,0.15021219136253094,-1.0354123839141138,-0.2985983045380336,-7.1737914167482435,30.0,3,5,8,8,descriptive only
volatility_2_to_5,10,older,recovery_30,734,369,195,68.25613079019074,2.666399051707178,5.8424825208647,-13.406759332498389,-41.36738261738261,14.305177111716622,8.969550610898542,-10.886729408184985,2.282655394957523,0.22836753639373736,59.53678474114441,3.465012867336348,1.8868121854004438,3.9141903765127273,-5.980758664627578,24.0,4,5,8,8,descriptive only
volatility_2_to_5,10,older,recovery_stop_10,734,369,195,65.66757493188011,2.374288967480359,5.561297297966217,-12.23435595658423,-33.154667587966536,20.29972752043597,8.926816547367356,-10.158720133732077,1.8441815081964181,0.2668401188044282,56.403269754768395,2.3231580532891645,1.0920892291287565,3.1417458809918752,-5.980758664627578,17.0,4,5,8,8,descriptive only
volatility_2_to_5,10,older,trailing_close_10,734,369,195,52.997275204359674,2.7946083806656272,0.8210862786066087,-11.506772397370405,-33.154667587966536,17.71117166212534,12.767427124899353,-8.450106087470369,-2.2977815710700678,-0.2536297490224302,42.50681198910082,-0.995880517276071,-2.247238990187528,-2.0895249397527293,-6.436781480944248,30.0,2,5,4,8,descriptive only
