entry_filter,cost_bps_per_side,period,policy,quarter,trades,tickers,signal_dates,win_rate_pct,mean_net_return_pct,median_net_return_pct,p10_net_return_pct,worst_net_return_pct,loss_at_least_10pct_rate,mean_winner_pct,mean_loser_pct,median_excess_spy_pp,mean_excess_spy_pp,beat_spy_pct,date_balanced_median_return_pct,date_balanced_median_excess_spy_pp,median_return_without_3_largest_dates_pct,median_adverse_excursion_pct,median_sessions_to_exit,positive_quarters_min30,quarters_min30,positive_sectors_min30,sectors_min30,sample_flag
volatility_2_to_5,10,older,hold_20,2025Q4,119,118,24,52.94117647058824,0.7138236942533989,0.3407121474712671,-10.02798994727244,-27.553796568395093,10.084033613445378,8.384842666322818,-7.916072649324698,-1.1399663455779363,-0.24877594614460696,48.739495798319325,-0.2561453777470718,-1.1063832413660655,0.7549933445831103,-6.205614920023894,20.0,1,1,1,1,descriptive only
volatility_2_to_5,10,older,hold_30,2024Q3,17,17,8,58.82352941176471,3.506477249958778,2.7979335460140753,-21.039354203853357,-36.787416958973395,17.647058823529413,15.490762532634017,-13.613930296720131,-0.20083356689371,-0.08146894977836482,47.05882352941176,0.03655300656527638,-0.8532405517599706,-1.8531002732867674,-4.333516182117392,30.0,0,0,0,0,small (<30 trades)
volatility_2_to_5,10,older,hold_30,2024Q4,115,109,38,50.43478260869565,0.3550221770964945,0.006173260999053909,-12.296943476126364,-37.06135914633661,16.52173913043478,8.534488486556599,-7.967943541301508,-1.448484758336055,-0.8446168195620801,43.47826086956522,-0.02192484914229631,-1.5769780467519365,-1.7278794192717162,-7.329613391789557,30.0,1,1,0,0,descriptive only
volatility_2_to_5,10,older,hold_30,2025Q1,159,151,46,23.270440251572328,-7.350213456875052,-6.329617170262514,-23.58539030192463,-41.36719216867809,40.25157232704403,9.149456334600263,-12.354211672322483,-0.8942414906746636,-0.8000553330161962,48.42767295597484,-3.857876042301031,0.9888884406309946,-4.873704406702773,-16.663697104677055,30.0,0,1,0,1,descriptive only
volatility_2_to_5,10,older,hold_30,2025Q2,237,221,36,88.18565400843882,14.5955934179574,12.143267635537814,-1.086315504698798,-17.12968156724113,1.2658227848101267,17.1935554717099,-4.796337626123773,-0.21049527184331396,0.8130087563656933,49.36708860759494,6.486650718151015,0.38063518512096994,4.737688710841725,-5.512741182426739,30.0,1,1,4,4,descriptive only
volatility_2_to_5,10,older,hold_30,2025Q3,87,86,43,60.91954022988506,6.33001714918156,1.9206117285301971,-9.716579491570176,-22.55249491500613,10.344827586206897,14.711892351485266,-6.735847136762452,-1.6515962080668078,3.100125644944533,44.827586206896555,0.6653194239879534,-2.1639388355596534,0.6670090472907342,-4.721533846354509,30.0,1,1,0,0,descriptive only
volatility_2_to_5,10,older,hold_30,2025Q4,119,118,24,49.57983193277311,-0.4815007020680297,-1.8028866347106876,-14.364839781317107,-41.36738261738261,21.84873949579832,9.630188277280745,-10.424661531760991,-2.4716273188367555,-1.2446028138386467,46.21848739495798,-3.1244112615923525,-2.9037411013965646,-2.5361880387653746,-8.12817506838609,30.0,0,1,1,1,descriptive only
volatility_2_to_5,10,older,recovery_30,2024Q3,17,17,8,70.58823529411765,3.6257050317560413,6.857239475852617,-13.24853786572125,-21.297526884852267,11.76470588235294,9.532281728983541,-10.55007904158996,3.4902648365154,2.047155650207467,70.58823529411765,2.5319802396807756,1.269799550124906,-1.8531002732867674,-2.7587450414713333,24.0,0,0,0,0,small (<30 trades)
volatility_2_to_5,10,older,recovery_30,2024Q4,115,109,38,65.21739130434783,1.1969293359019175,3.9141903765127273,-10.351821661111423,-37.06135914633661,13.043478260869565,6.656496900550395,-9.039759847813977,2.191375960798081,0.04285560890903903,63.47826086956522,2.896201406146165,1.5756748916082057,3.372646731548623,-6.1735379393253575,26.0,1,1,0,0,descriptive only
volatility_2_to_5,10,older,recovery_30,2025Q1,159,151,46,42.138364779874216,-5.126753732385734,-3.3114197015798874,-23.58539030192463,-41.36719216867809,35.22012578616352,7.244324459814508,-14.136125894096779,1.3211032059100116,-0.3425732103611467,57.23270440251572,-1.4899161871400197,1.752635233285144,-2.359327302109077,-11.487883872478232,30.0,0,1,0,1,descriptive only
volatility_2_to_5,10,older,recovery_30,2025Q2,237,221,36,89.45147679324894,9.04007285760175,9.079473047369424,-0.25263271748811855,-17.12968156724113,1.2658227848101267,10.712498694498304,-5.142098239281037,2.2034490666129836,0.3201277037937349,58.64978902953587,6.660129411523191,2.5699551260170534,6.017031295841724,-5.463265553134833,19.0,1,1,4,4,descriptive only
volatility_2_to_5,10,older,recovery_30,2025Q3,87,86,43,65.51724137931035,4.245176341036858,5.118340013615241,-9.716579491570176,-22.55249491500613,10.344827586206897,10.288023852464868,-7.2362339306763594,3.8428949293111803,2.0248606899117365,55.172413793103445,3.9987388684318725,0.08392727694048752,4.73321280963046,-4.520206856923958,25.0,1,1,0,0,descriptive only
volatility_2_to_5,10,older,recovery_30,2025Q4,119,118,24,65.54621848739495,0.5141115908571924,4.32511828932951,-13.952872288424883,-41.36738261738261,16.80672268907563,6.888248540248433,-11.612295288472486,2.9186551193754795,-0.5854813003283802,62.18487394957983,2.2681834230249,1.745326770913752,2.285193215543191,-5.646970830216902,21.0,1,1,1,1,descriptive only
volatility_2_to_5,10,older,recovery_stop_10,2024Q3,17,17,8,70.58823529411765,3.4016474303732993,6.857239475852617,-10.02927327387819,-33.154667587966536,11.76470588235294,9.532281728983541,-11.311874886291282,3.4902648365154,2.0254386630080736,70.58823529411765,2.5319802396807756,1.269799550124906,-1.8531002732867674,-2.7587450414713333,15.0,0,0,0,0,small (<30 trades)
volatility_2_to_5,10,older,recovery_stop_10,2024Q4,115,109,38,62.60869565217392,0.84047178083668,3.605466569967297,-11.365910845124517,-15.292713188956164,19.130434782608695,6.687192413604033,-8.949386022866797,2.1158810194067845,-0.03607006978178258,60.86956521739131,1.9489596210808866,0.750668959632661,3.251595352471459,-6.1735379393253575,18.0,1,1,0,0,descriptive only
volatility_2_to_5,10,older,recovery_stop_10,2025Q1,159,151,46,37.735849056603776,-4.695769691617951,-8.676560945676236,-16.012011493381365,-26.167273199086903,42.138364779874216,6.6979102425033545,-11.601030257752074,-0.6197817667971446,-0.2560820516500511,48.42767295597484,-3.392384154854558,0.9448379748517868,-7.417921086610374,-10.52340015182912,17.0,0,1,0,1,descriptive only
volatility_2_to_5,10,older,recovery_stop_10,2025Q2,237,221,36,86.91983122362869,8.116725169036458,8.86567773783411,-3.9623276800039524,-27.93571766951609,5.9071729957805905,10.67239925426899,-8.866141332831324,1.8053333822632958,0.2562499376646379,57.383966244725734,6.56400689195249,2.4956683168256273,5.998697889403504,-5.463265553134833,17.0,1,1,4,4,descriptive only
